Дата обсуждения,Книга,Автор,В каком клубе обсуждают,Ссылка на клуб,год (для определения архива)
11 августа,«Элегантность ёжика»,Мюриель Барбери,Это просто книжный клуб,https://vk.ru/prosto_book_club,2026
с 1 по 20 сентября,«Мартин Иден»,Джек Лондон,Клуб нескучных чтений,https://libertrino.ru,2026
29 августа,«Забвение Фернана»,Ольга Ашмарова,Клуб нескучных чтений,https://libertrino.ru,2026
1—31 августа,"«Отверженные», том 1",Виктор Гюго,Читательский клуб Кемерово,https://t.me/club_forreading,2026
"13.08, 15.08",«Гордость и предубеждение»,Джейн Остин,Строки с любовью,https://t.me/LineswithLove,2026
август,«Кваzи» и «КайноZой»,Андрей Лукьяненко,Между строк,https://t.me/+Po34gCRbrqgzYWYy,2026
29 августа,«Воскресение»,Лев Толстой,Час души,https://telegram.me/olgakushnir,2026
8 сентября,«Имя розы»,Умберто Эко,Это просто книжный клуб,https://vk.ru/prosto_book_club,2026
с 12 по 30 сентября,«Остров Сахалин»,Антон Чехов,Клуб нескучных чтений,https://libertrino.ru,2026
22 сентября,«Моя жизнь»,Марк Шагал,Клуб нескучных чтений,https://libertrino.ru,2026
20 сентября,"«Отверженные», том 2",Виктор Гюго,Читательский клуб Кемерово,https://t.me/club_forreading,2026
27 сентября,«Нагори. Тоска по уходящему сезону»,Реко Секигути,Час души,https://telegram.me/olgakushnir,2026
28 сентября,«Займись ничем»,Джозеф Джебелли,Лаборатория органических медиа,https://t.me/organic_media,2026
6 октября,будет голосование в группе клуба,,Это просто книжный клуб,https://vk.ru/prosto_book_club,2026
10 ноября,будет голосование в группе клуба,,Это просто книжный клуб,https://vk.ru/prosto_book_club,2026
8 декабря,будет голосование в группе клуба,,Это просто книжный клуб,https://vk.ru/prosto_book_club,2026
